 Świętokrzyskie, Poland,1.232,"19,551"
 Lublin, Poland,2.105,"31,117"
 Subcarpathian, Poland,2.086,"32,713"
 Podlaskie, Poland,1.155,"18,309"
 Warsaw, Poland,3.025,"145,835"
Masovian Regional, Poland,2.335,"43,184"
Northern Portugal, Portugal,3.576,"72,201"
Algarve, Portugal,0.44,"11,592"
Central Portugal, Portugal,2.231,"45,837"
Lisbon metropolitan area, Portugal,2.834,"87,895"
Alentejo, Portugal,0.712,"15,703"
 Autonomous Region of the Azores, Portugal,0.244,"5,108"
 Autonomous Region of Madeira, Portugal,0.254,"5,862"
North West, Romania,2.561,"48,238"
Centre, Romania,2.326,"44,505"
North East, Romania,3.221,"41,139"
South East, Romania,2.422,"40,506"
South - Muntenia, Romania,2.965,"46,301"
Bucharest - Ilfov, Romania,2.301,"107,988"
South West - Oltenia, Romania,1.95,"29,524"
West, Romania,1.785,"37,138"
Eastern Slovenia, Slovenia,1.09,"24,137"
Western Slovenia, Slovenia,0.977,"31,588"
 Bratislava Region, Slovakia,0.651,"34,944"
Western Slovakia, Slovakia,1.828,"37,726"
Central Slovakia, Slovakia,1.341,"24,106"
Eastern Slovakia, Slovakia,1.623,"26,417"
West Finland, Finland,1.38,"41,974"
 Helsinki-Uusimaa, Finland,1.656,"73,750"
South Finland, Finland,1.157,"35,466"
North & East Finland, Finland,1.291,"37,165"
 Åland, Finland,0.029,"1,103"
 Stockholm, Sweden,2.308,"117,359"
East Middle Sweden, Sweden,1.688,"55,148"
Småland and the islands, Sweden,0.857,"28,128"
South Sweden, Sweden,1.504,"48,002"
West Sweden, Sweden,2.016,"74,340"
North Middle Sweden, Sweden,0.852,"25,848"
Middle Norrland, Sweden,0.376,"12,133"
Upper Norrland, Sweden,0.52,"18,616"
